make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Toyota,Highlander AWD,22.8128,Automatic,8,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,Y
Mercedes-Benz,SLC300,26.6861,Automatic,9,RWD,2,4,Two Seater,Y,Turbo,Premium,None,Y
Roush Performance,Stage 3 Mustang,14.2443,Automatic,10,RWD,5,8,Subcompact,Y,Super,Premium,None,N
Mercedes-Benz,Maybach S650,15.5665,Automatic,7,RWD,6,12,Large,N,Turbo,Premium,None,Y
Honda,Fit,31,Manual,6,FWD,1.5,4,Sm St Wagon,Y,Natural,Regular,None,N
Ram,1500 Classic 2WD,17.3529,Automatic,8,RWD,5.7,8,Std Pickup Truck,N,Natural,Mid,None,N
Ram,1500 Classic 4WD,16.8732,Automatic,8,4WD,5.7,8,Std Pickup Truck,N,Natural,Mid,None,N
Buick,Encore GX AWD,27.5574,Automatic,9,AWD,1.3,3,Sm SUV,Y,Turbo,Regular,None,Y
Bentley,Continental GT Convertible,14.6616,Manual,8,AWD,6,12,Minicompact,Y,Turbo,Premium,None,Y
Porsche,911 Carrera Cabriolet,19.6342,Manual,8,RWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Roush Performance,F150 Pickup 2WD,12.6756,Automatic,10,RWD,5,8,Std Pickup Truck,N,Super,Premium,None,N
Dodge,Grand Caravan,19.9421,Automatic,6,FWD,3.6,6,Minivan,N,Natural,Regular,None,N
Volkswagen,Jetta,34.0525,Automatic,8,FWD,1.4,4,Compact,Y,Turbo,Regular,None,Y
Chevrolet,Silverado 4WD TrailBoss,17.2535,Automatic,10,4WD,6.2,8,Std Pickup Truck,Y,Natural,Premium,None,Y
Mazda,MX-5,29.0373,Manual,6,RWD,2,4,Two Seater,Y,Natural,Premium,None,N
Mazda,MX-5,29.7239,Automatic,6,RWD,2,4,Two Seater,Y,Natural,Premium,None,N
Volkswagen,Atlas Cross Sport,19.211,Automatic,8,FWD,3.6,6,Sm SUV,Y,Natural,Regular,None,Y
Chevrolet,Corvette,18.9269,Automatic,8,RWD,6.2,8,Two Seater,Y,Natural,Premium,None,N
Mercedes-Benz,AMG A35 4matic,26.5615,Manual,7,4WD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,228i xDrive Gran Coupe,26.6667,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Cadillac,CT4 AWD,25.9339,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Cadillac,CT4,27.159300000000002,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Cadillac,CT5 AWD,20.5169,Automatic,10,AWD,3,6,Midsize,Y,Turbo,Premium,None,Y
Cadillac,CT5 V,21.4176,Automatic,10,RWD,3,6,Midsize,Y,Turbo,Premium,None,Y
Nissan,Sentra SR,31.8639,CVT,1,FWD,2,4,Midsize,Y,Natural,Regular,None,N
Toyota,Highlander Hybrid AWD LTD/PLAT,35.0205,CVT,6,AWD,2.5,4,Std SUV,Y,Natural,Regular,Hybrid,Y
Honda,Clarity Plug-in Hybrid,42.1053,CVT,1,FWD,1.5,4,Midsize,N,Natural,Regular,Plug-in Hybrid,Y
Porsche,Cayenne Turbo Coupe,16.5714,Automatic,8,AWD,4,8,Std SUV,Y,Turbo,Premium,None,Y
BMW,M2 CS Coupe,19.5165,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M2 CS Coupe,18.7179,Manual,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Bentley,Bentayga,18.7319,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,Plug-in Hybrid,Y
